turn,player_turn,desk,hand_0,hand_1
19,0,"[""3D"", ""2C"", ""4S"", ""5C"", ""6D""]","[""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
20,1,"[""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H""]","[""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
21,0,"[""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H""]","[""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
22,1,"[""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D""]","[""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
23,0,"[""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H""]","[""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
24,1,"[""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD""]","[""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
25,0,"[""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH""]","[""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
26,1,"[""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD""]","[""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
27,0,"[""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH""]","[""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
28,1,"[""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1""]","[""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
