turn,player_turn,desk,hand_0,hand_1
61,1,"[""2D"", ""4D""]","[""JC"", ""9H"", ""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""10H"", ""QC"", ""6S"", ""2S"", ""4C"", ""QD"", ""6D"", ""JD"", ""7C"", ""6C""]"
62,0,"[""2D"", ""4D"", ""10H""]","[""JC"", ""9H"", ""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""QC"", ""6S"", ""2S"", ""4C"", ""QD"", ""6D"", ""JD"", ""7C"", ""6C""]"
63,1,"[""2D"", ""4D"", ""10H"", ""JC""]","[""9H"", ""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""QC"", ""6S"", ""2S"", ""4C"", ""QD"", ""6D"", ""JD"", ""7C"", ""6C""]"
64,0,"[""2D"", ""4D"", ""10H"", ""JC"", ""QC""]","[""9H"", ""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""6S"", ""2S"", ""4C"", ""QD"", ""6D"", ""JD"", ""7C"", ""6C""]"
65,1,"[""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H""]","[""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""6S"", ""2S"", ""4C"", ""QD"", ""6D"", ""JD"", ""7C"", ""6C""]"
66,0,"[""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H"", ""6S""]","[""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""2S"", ""4C"", ""QD"", ""6D"", ""JD"", ""7C"", ""6C""]"
67,1,"[""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H"", ""6S"", ""AS""]","[""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""2S"", ""4C"", ""QD"", ""6D"", ""JD"", ""7C"", ""6C""]"
67,1,"[""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H"", ""6S"", ""AS"", ""2S""]","[""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""4C"", ""QD"", ""6D"", ""JD"", ""7C"", ""6C""]"
68,1,[],"[""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""4C"", ""QD"", ""6D"", ""JD"", ""7C"", ""6C"", ""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H"", ""6S"", ""AS"", ""2S""]"
69,0,"[""4C""]","[""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""QD"", ""6D"", ""JD"", ""7C"", ""6C"", ""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H"", ""6S"", ""AS"", ""2S""]"
70,1,"[""4C"", ""2H""]","[""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""QD"", ""6D"", ""JD"", ""7C"", ""6C"", ""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H"", ""6S"", ""AS"", ""2S""]"
71,0,"[""4C"", ""2H"", ""QD""]","[""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""6D"", ""JD"", ""7C"", ""6C"", ""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H"", ""6S"", ""AS"", ""2S""]"
72,1,"[""4C"", ""2H"", ""QD"", ""8S""]","[""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""6D"", ""JD"", ""7C"", ""6C"", ""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H"", ""6S"", ""AS"", ""2S""]"
73,0,"[""4C"", ""2H"", ""QD"", ""8S"", ""6D""]","[""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""JD"", ""7C"", ""6C"", ""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H"", ""6S"", ""AS"", ""2S""]"
74,1,"[""4C"", ""2H"", ""QD"", ""8S"", ""6D"", ""5D""]","[""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""JD"", ""7C"", ""6C"", ""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H"", ""6S"", ""AS"", ""2S""]"
75,0,"[""4C"", ""2H"", ""QD"", ""8S"", ""6D"", ""5D"", ""JD""]","[""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""7C"", ""6C"", ""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H"", ""6S"", ""AS"", ""2S""]"
76,1,"[""4C"", ""2H"", ""QD"", ""8S"", ""6D"", ""5D"", ""JD"", ""10S""]","[""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""7C"", ""6C"", ""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H"", ""6S"", ""AS"", ""2S""]"
77,0,"[""4C"", ""2H"", ""QD"", ""8S"", ""6D"", ""5D"", ""JD"", ""10S"", ""7C""]","[""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""6C"", ""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H"", ""6S"", ""AS"", ""2S""]"
77,0,"[""4C"", ""2H"", ""QD"", ""8S"", ""6D"", ""5D"", ""JD"", ""10S"", ""7C"", ""QS""]","[""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""6C"", ""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H"", ""6S"", ""AS"", ""2S""]"
78,0,"[""4C"", ""2H""]","[""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S"", ""QD"", ""8S"", ""6D"", ""5D"", ""JD"", ""10S"", ""7C"", ""QS""]","[""6C"", ""2D"", ""4D"", ""10H"", ""JC"", ""QC"", ""9H"", ""6S"", ""AS"", ""2S""]"
